"Make","Model","SN","Unit","Start_date","Cal_Eq_type","Cal_coef1","Cal_coef2","Cal_coef3","Cal_coef4","Cal_coef5","Cal_coef6","Cal_coef7","Cal_coef8","Cal_coef9","Cal_coef10","SE_Eq_type","SE_coef1","SE_coef2","SE_coef3","SE_coef4","SE_coef5","SE_coef6","SE_coef7","SE_coef8","SE_coef9","SE_coef10"
"Tinytag","TG-4100","640248","°C","2014-02-10",2,"0.253806325924018","0.98912771163336","0.000175920702553473","","","","","","","",4,"0.00497656396072089","6.46843031225247e-05","-1.45041458498366e-05","8.47658473374193e-07","-1.14655595225824e-08","","","","",""
"Tinytag","TG-4100","642016","°C","2014-02-10",2,"0.263860611498708","0.988481699188218","0.000158492416772444","","","","","","","",4,"0.00714689050397714","-0.000679705545472078","6.59878231681759e-05","-2.93978335676741e-06","5.04101640268378e-08","","","","",""
"Tinytag","TG-4100","642027","°C","2014-02-10",2,"0.243067956729647","0.989718742737611","0.000174093637483534","","","","","","","",4,"0.00690761993945742","-0.000531280401418607","3.43342381219786e-05","-7.39259078836501e-07","4.49625913578825e-09","","","","",""
"Tinytag","TG-4100","642031","°C","2014-02-10",2,"0.225178615560068","0.990608875148497","0.000146781249317057","","","","","","","",4,"0.00702552893169848","-0.000781935831171881","9.34854931559384e-05","-4.29138101714477e-06","6.63596195262967e-08","","","","",""
"Tinytag","TG-4100","642042","°C","2014-02-10",2,"0.250447944066764","0.989998558059763","0.000194596223840696","","","","","","","",4,"0.00738818355237245","-0.000624867517895341","6.80050273258013e-05","-3.24047743183102e-06","5.63343311550395e-08","","","","",""
"Tinytag","TG-4100","642269","°C","2014-02-10",2,"0.210553370963348","0.989959585561037","0.00014808897661455","","","","","","","",4,"0.0058216527420966","-0.000689858894716072","0.00011608335372373","-6.67177701869159e-06","1.2230349524236e-07","","","","",""
"Tinytag","TG-4100","642284","°C","2014-02-10",2,"0.139153493403998","0.990475860746132","0.000148995663139851","","","","","","","",4,"0.0073503635426346","-0.000703924540669375","6.87287916034306e-05","-3.12449783994347e-06","5.42844414697539e-08","","","","",""
"Tinytag","TG-4100","642302","°C","2014-02-10",2,"0.317875761106208","0.989038274728311","0.000151700088761594","","","","","","","",4,"0.000350137781882368","0.0011299417563031","-7.90166636373743e-05","1.93739190590961e-06","-1.03661724372089e-08","","","","",""
"Tinytag","TG-4100","642303","°C","2014-02-10",2,"0.313094261009928","0.98892471488983","0.000147851699168638","","","","","","","",4,"0.00249316772480408","0.000852168289635834","-0.000101422246317956","4.79224255140923e-06","-7.50107937727149e-08","","","","",""
"Tinytag","TG-4100","642315","°C","2014-02-10",2,"0.196441489861138","0.991241025667995","0.000159476175160284","","","","","","","",4,"0.00698563417692118","-0.000753123438308671","0.000100609354202816","-5.38744641980789e-06","9.56360008733258e-08","","","","",""
"Tinytag","TG-4100","642326","°C","2014-02-10",2,"0.282411055858566","0.987689675904464","0.00017629790840505","","","","","","","",4,"0.00785489555941056","-0.00041301664946228","3.9055496666567e-05","-1.6305902411554e-06","2.26045408917337e-08","","","","",""
"Tinytag","TG-4100","642337","°C","2014-02-10",2,"0.244532685188142","0.989191685679024","0.00017057278290878","","","","","","","",4,"0.00456775791195561","0.000133693147902956","-3.63139705385314e-05","2.78892971197234e-06","-5.67914099955339e-08","","","","",""
"Tinytag","TG-4100","642362","°C","2014-02-10",2,"0.212234972757585","0.989641465883857","0.000157392679463218","","","","","","","",4,"0.00655527489535893","-0.00079686356061626","0.000102305811850388","-4.77805915924022e-06","7.51260235153307e-08","","","","",""
"Tinytag","TG-4100","642387","°C","2014-02-10",2,"0.220119155736825","0.989857483472373","0.000169762892577918","","","","","","","",4,"0.00612510441325186","-0.000719367059757106","9.32428046458312e-05","-3.8617914838775e-06","4.85638227620872e-08","","","","",""
"Tinytag","TG-4100","643055","°C","2014-02-10",2,"0.189057710673342","0.99021057218421","0.000179497890858734","","","","","","","",4,"0.0055440466847622","-0.000428310980304149","5.30437313337437e-05","-2.0352950518097e-06","2.28098259450933e-08","","","","",""
